id,vendor_id,pickup_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag
id2913151,2,2016-06-30 12:46:28,1,-73.972999572753906,40.744621276855469,-73.963447570800781,40.768569946289063,N
id3009490,2,2016-06-30 12:46:25,1,-74.01104736328125,40.708751678466797,-73.872650146484375,40.774528503417969,N
id1940196,2,2016-06-30 12:46:05,2,-73.980201721191406,40.759040832519531,-73.783905029296875,40.643516540527344,N
id3841987,2,2016-06-30 12:45:03,6,-73.963729858398438,40.756771087646484,-73.976417541503906,40.75994873046875,N
id3324826,1,2016-06-30 12:44:20,1,-74.0062255859375,40.739627838134766,-73.870681762695312,40.773944854736328,N
id3287947,1,2016-06-30 12:43:51,1,-73.980758666992188,40.748203277587891,-73.987945556640625,40.750568389892578,N
id3614906,1,2016-06-30 12:43:37,1,-73.977081298828125,40.784732818603516,-73.961593627929688,40.798484802246094,N
id2824340,2,2016-06-30 12:43:12,1,-73.957984924316406,40.78497314453125,-73.990547180175781,40.75128173828125,N
id0293722,2,2016-06-30 12:42:56,1,-73.965057373046875,40.763603210449219,-73.964408874511719,40.767162322998047,N
id0227628,1,2016-06-30 12:41:41,1,-73.950248718261719,40.78369140625,-73.938529968261719,40.8048095703125,N
id0015754,2,2016-06-30 12:41:22,5,-73.965019226074219,40.791706085205078,-73.957420349121094,40.785194396972656,N
id3946287,1,2016-06-30 12:40:20,1,-73.988204956054688,40.696327209472656,-73.98822021484375,40.696334838867188,N
id2770665,1,2016-06-30 12:40:04,1,-73.978759765625,40.785686492919922,-73.980827331542969,40.765720367431641,N
id2742573,2,2016-06-30 12:39:04,1,-73.987739562988281,40.775100708007813,-73.985298156738281,40.766799926757813,N
id0418843,2,2016-06-30 12:38:28,1,-73.9906005859375,40.751449584960938,-73.861686706542969,40.768348693847656,N
id1911719,2,2016-06-30 12:37:52,1,-73.957328796386719,40.812080383300781,-73.965438842773438,40.808719635009766,N
id1722647,2,2016-06-30 12:37:40,5,-73.7904052734375,40.646732330322266,-73.989578247070313,40.760456085205078,N
id2257693,1,2016-06-30 12:37:24,1,-73.984115600585938,40.765098571777344,-73.982231140136719,40.774269104003906,N
id0192716,1,2016-06-30 12:37:10,1,-73.983650207519531,40.75,-73.976119995117188,40.765369415283203,N
id3566472,2,2016-06-30 12:36:48,1,-73.968147277832031,40.755199432373047,-73.987922668457031,40.740970611572266,N
id0798968,2,2016-06-30 12:36:35,1,-73.978988647460938,40.777496337890625,-73.961280822753906,40.769935607910156,N
id0157655,1,2016-06-30 12:36:15,2,-73.98541259765625,40.755268096923828,-73.99639892578125,40.767837524414063,N
id3402685,2,2016-06-30 12:35:43,1,-73.957252502441406,40.779918670654297,-73.990837097167969,40.769840240478516,N
id0669149,1,2016-06-30 12:35:36,1,-73.981117248535156,40.781288146972656,-73.963890075683594,40.807727813720703,N
id2548636,1,2016-06-30 12:35:24,2,-73.996177673339844,40.743297576904297,-74.006706237792969,40.730186462402344,N
id2311173,2,2016-06-30 12:33:47,1,-74.00421142578125,40.721988677978516,-73.783180236816406,40.643829345703125,N
id1159192,1,2016-06-30 12:33:30,1,-73.998023986816406,40.731655120849609,-73.982719421386719,40.74810791015625,N
id1917257,2,2016-06-30 12:32:15,2,-73.979698181152344,40.761188507080078,-73.984397888183594,40.769580841064453,N
id0786250,2,2016-06-30 12:31:41,1,-73.976219177246094,40.781059265136719,-73.977272033691406,40.779468536376953,N
id3099562,1,2016-06-30 12:29:59,1,-73.980552673339844,40.750720977783203,-73.966941833496094,40.755748748779297,N
id1327361,1,2016-06-30 12:29:55,1,-73.99407958984375,40.731185913085938,-73.982559204101563,40.727352142333984,N
id1154448,1,2016-06-30 12:29:45,1,-73.985954284667969,40.7359619140625,-73.996009826660156,40.732761383056641,N
id0674643,2,2016-06-30 12:29:44,2,-73.9832763671875,40.72650146484375,-73.989616394042969,40.719100952148438,N
id2803471,2,2016-06-30 12:29:38,1,-73.970260620117187,40.784149169921875,-73.953361511230469,40.766788482666016,N
id1385573,2,2016-06-30 12:29:17,1,-74.004127502441406,40.716259002685547,-73.982231140136719,40.766399383544922,N
id3186633,2,2016-06-30 12:29:07,6,-73.994392395019531,40.750911712646484,-73.982978820800781,40.756301879882813,N
id2470158,2,2016-06-30 12:28:57,1,-74.002822875976563,40.760540008544922,-73.999076843261719,40.745460510253906,N
id2424195,2,2016-06-30 12:28:35,6,-73.990470886230469,40.756290435791016,-73.969039916992188,40.760711669921875,N
id1719313,2,2016-06-30 12:27:41,6,-73.952461242675781,40.783798217773437,-73.961662292480469,40.779861450195313,N
id3907120,2,2016-06-30 12:27:19,6,-73.946487426757812,40.772510528564453,-73.957847595214844,40.779598236083984,N
id3916773,2,2016-06-30 12:27:17,1,-73.990806579589844,40.770118713378906,-73.987640380859375,40.753108978271484,N
id1887039,1,2016-06-30 12:27:11,1,-73.994537353515625,40.718929290771484,-74.004356384277344,40.723560333251953,N
id3071565,2,2016-06-30 12:26:04,2,-73.981880187988281,40.763320922851563,-73.928237915039063,40.829460144042969,N
id0303230,1,2016-06-30 12:26:02,1,-73.9642333984375,40.808109283447266,-73.980888366699219,40.782459259033203,N
id1283057,1,2016-06-30 12:25:53,4,-73.781219482421875,40.644889831542969,-73.975563049316406,40.764530181884766,N
id1079200,1,2016-06-30 12:25:28,1,-74.008590698242188,40.719638824462891,-74.006446838378906,40.739231109619141,N
id1899867,2,2016-06-30 12:25:13,3,-73.977394104003906,40.763225555419922,-73.983665466308594,40.749881744384766,N
id1197900,2,2016-06-30 12:24:53,1,-73.789138793945313,40.647171020507813,-73.955757141113281,40.655071258544922,N
id3929773,1,2016-06-30 12:24:35,1,-73.985610961914062,40.760784149169922,-73.86199951171875,40.768589019775391,N
id3509820,2,2016-06-30 12:24:23,1,-73.975669860839844,40.760700225830078,-73.988059997558594,40.738491058349609,N
id1387393,1,2016-06-30 12:23:23,1,-73.978607177734375,40.753677368164063,-74.007217407226563,40.75140380859375,N
id1974581,1,2016-06-30 12:23:02,1,-73.96954345703125,40.762386322021484,-73.960227966308594,40.77032470703125,N
id1519440,2,2016-06-30 12:22:59,1,-73.971702575683594,40.763191223144531,-73.965568542480469,40.771587371826172,N
id2098862,1,2016-06-30 12:22:18,1,-73.980094909667969,40.754482269287109,-73.980369567871094,40.749988555908203,N
id0016723,1,2016-06-30 12:22:05,1,-73.954864501953125,40.777320861816406,-73.946029663085938,40.773731231689453,N
id3215135,1,2016-06-30 12:22:05,4,-73.953910827636719,40.766307830810547,-73.978691101074219,40.763072967529297,N
id0840277,1,2016-06-30 12:21:56,1,-73.862640380859375,40.7689208984375,-73.983444213867188,40.762855529785156,N
id0546537,1,2016-06-30 12:21:24,1,-74.007949829101563,40.704631805419922,-74.001274108886719,40.714626312255859,N
id0121861,2,2016-06-30 12:21:00,2,-73.980476379394531,40.734119415283203,-73.989768981933594,40.747200012207031,N
id0616772,2,2016-06-30 12:20:33,5,-73.979888916015625,40.758697509765625,-73.980911254882812,40.778682708740234,N
id2880275,1,2016-06-30 12:20:18,1,-73.979850769042969,40.755390167236328,-74.010208129882813,40.712196350097656,N
id1503568,1,2016-06-30 12:19:54,2,-73.969917297363281,40.762733459472656,-73.957221984863281,40.783035278320312,N
id0348863,2,2016-06-30 12:18:54,6,-73.990867614746094,40.744663238525391,-73.98028564453125,40.751033782958984,N
id2162086,1,2016-06-30 12:18:26,1,-74.002944946289062,40.760395050048828,-73.963882446289063,40.807811737060547,N
